word,translation,example,category,difficulty,learned,deleted,seen_count,correct_count,last_seen
english,"uzbek
aggravating","og'irlashtirmoq
scramble",general,1,False,False,0,0,
ignition,yonishni boshlashhi,,general,1,False,False,0,0,
swift,tezkor,,general,1,False,False,0,0,
me,men,,general,1,False,False,0,0,
iron,temir,,general,1,False,False,0,0,
english,uzbek
aggravating,og'irlashtirmoq
scramble,aralashmoq
commodity,tovar
underpin,tayanch bo'lmoq
substance,modda
ingredient,tarkibiy qism
raw,xom
scale,miqyos
abundance,mo'l-ko'lchilik
marvellous properties,ajoyib xususiyatlar
component,tarkibiy qism
mouldable,qolipga solinadigan
pourable,quyiladigan
reinforce,mustahkamlash
properties,xususiyatlar
medieval,o'rta asr
timber,yog'och material
straightforward,sodda
moisture,namlik
susceptible,sezgir
adhesive,yopishtiruvchi
solid-sawn,qattiq arralangan
crosswise,ko'ndalang
vice-president,vitse-prezident
concerns,tashvishlar
iron ore,temir rudasi
fly ash,uchuvchi kul
slag,shlak
abundant,mo'l-ko'l
affairs,ishlar
conventional,an'anaviy
resistance,qarshilik
indication,ko'rsatma
reference,ma'lumotnoma
primitive,ibtidoiy
miniaturized,miniatyuralashtirilgan
inherit,meros qilib olmoq
reservoirs,suv omborlari
replenishment,to'ldirish
shuttling,transport qilish
complicated,murakkab
hand-crank,qo'l aylantirgich
phase out,bosqichma-bosqich bekor qilish
rekindle,qayta yoqmoq
comprised,iborat bo'lmoq
wrecked,vayron bo'lgan
combustion,yonish
superior,ustun
pistons,pistonlar
clattering,taqillagan
swift,tezkor
accelerate,tezlashtirmoq
ignition,yonishni boshlashhi,

